,Id,Date,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,ModeratelyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Weekday,ActivityType,TotalTimeInBed,TotalMinutesAsleep,TotalMinutesNotAsleep,SleepRange
1,1503960366,4/12/2016,13162,8.5,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985,Tuesday,Sedentary,346,327,19,Under Sleep
2,1503960366,4/13/2016,10735,6.96999979,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1797,Wednesday,Sedentary,407,384,23,Under Sleep
3,1503960366,4/14/2016,10460,6.739999771,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776,Thursday,Sedentary,,,,
4,1503960366,4/15/2016,9762,6.28000021,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,Friday,Sedentary,442,412,30,Under Sleep
5,1503960366,4/16/2016,12669,8.159999847,2.710000038,0.409999996,5.039999962,0,36,10,221,773,1863,Saturday,Sedentary,367,340,27,Under Sleep
6,1503960366,4/17/2016,9705,6.480000019,3.190000057,0.779999971,2.50999999,0,38,20,164,539,1728,Sunday,Sedentary,712,700,12,Over Sleep
7,1503960366,4/18/2016,13019,8.590000153,3.25,0.639999986,4.710000038,0,42,16,233,1149,1921,Monday,Sedentary,,,,
8,1503960366,4/19/2016,15506,9.880000114,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,Tuesday,Sedentary,320,304,16,Under Sleep
9,1503960366,4/20/2016,10544,6.679999828,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786,Wednesday,Sedentary,377,360,17,Under Sleep
10,1503960366,4/21/2016,9819,6.340000153,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,Thursday,Sedentary,364,325,39,Under Sleep
11,1503960366,4/22/2016,12764,8.130000114,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827,Friday,Sedentary,,,,
12,1503960366,4/23/2016,14371,9.039999962,2.809999943,0.870000005,5.360000134,0,41,21,262,732,1949,Saturday,Sedentary,384,361,23,Under Sleep
13,1503960366,4/24/2016,10039,6.409999847,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788,Sunday,Sedentary,449,430,19,Good Sleep
14,1503960366,4/25/2016,15355,9.800000191,5.289999962,0.569999993,3.940000057,0,73,14,216,814,2013,Monday,Sedentary,323,277,46,Under Sleep
15,1503960366,4/26/2016,13755,8.789999962,2.329999924,0.920000017,5.539999962,0,31,23,279,833,1970,Tuesday,Sedentary,274,245,29,Under Sleep
16,1503960366,4/27/2016,18134,12.21000004,6.400000095,0.409999996,5.409999847,0,78,11,243,1108,2159,Wednesday,Sedentary,,,,
17,1503960366,4/28/2016,13154,8.529999733,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,Thursday,Sedentary,393,366,27,Under Sleep
18,1503960366,4/29/2016,11181,7.150000095,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,Friday,Sedentary,354,341,13,Under Sleep
19,1503960366,4/30/2016,14673,9.25,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947,Saturday,Sedentary,425,404,21,Under Sleep
20,1503960366,5/1/2016,10602,6.809999943,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820,Sunday,Sedentary,396,369,27,Under Sleep
21,1503960366,5/2/2016,14727,9.710000038,3.210000038,0.569999993,5.920000076,0,41,15,277,798,2004,Monday,Sedentary,309,277,32,Under Sleep
22,1503960366,5/3/2016,15103,9.659999847,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990,Tuesday,Sedentary,296,273,23,Under Sleep
